question,rewritten_question,ground_truth,generated_answer,context,distance,confidence,retrieved_index
How many species of beetles are there?,How many species of beetles are there?,"350,000","350,000","Beetles are a group of insects which have the largest number of species. They are placed in the order Coleoptera,which means ""sheathed wing"" and contains more described species than in any other order in the animal kingdom, constituting about twenty-five percent of all known life-forms. James K. Liebherr and Joseph V. McHugh in Resh, V. H. & R. T. Card̩ (Editors) 2003. Encyclopedia of Insects. Academic Press.  Forty percent of all described insect species are beetles (about 350,000 species ), and new species are frequently discovered. Estimates put the total number of species, described and undescribed, at between 5 and 8 million.",0.41676468,high,2376
When are sperm cells transferred to the female?,When are sperm cells transferred to the female?,during pairing,Information not found in context,Pairing is generally short but in some cases will last for several hours. During pairing sperm cells are transferred to the female to fertilise the egg.,0.8620297,low,2403
What is the study of beetles called?,What is the study of beetles?,coleopterology,coleopterology,"The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles. Among these is The Coleopterists Society, an international organisation based in the United States. Such organisations may have both professionals and amateurs interested in beetles as members.",0.536057,high,2439
"Is it possible that there are more than 350,000 species of beetles?","Are there more than 350,000 species of beetles?",yes,yes,"There are about 350,000 species of beetles. Such a large number of species poses special problems for classification, with some families consisting of thousands of species and needing further division into subfamilies and tribes.",0.3169515,high,2422
Is the Adephaga suborder larger than the Polyphaga suborder?,Is the Adephaga suborder larger than the Polyphaga suborder?,no,yes,"These suborders diverged in the Permian and Triassic. Their phylogenetic relationship is uncertain, with the most popular hypothesis being that Polyphaga and Myxophaga are most closely related, with Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.",0.72400486,high,2421
Do carrion beetles eat dung?,Do carrion beetles eat dung?,no,yes,"Decaying organic matter is a primary diet for many species. This can range from dung, which is consumed by coprophagous species such as certain scarab beetles (family Scarabaeidae), to dead animals, which are eaten by necrophagous species such as the carrion beetles (family Silphidae). Some of the beetles found within dung and carrion are in fact predatory, such as the clown beetles, preying on the larvae of coprophagous and necrophagous insects.",0.6157917,high,2412
What are prey of various animals including birds and mammals?,What are prey of various animals including birds and mammals?,Beetles.,Information not found in context,"A worldwide group like the ducks has many predators. Ducklings are particularly vulnerable, since their inability to fly makes them easy prey not only for avian hunters but also large fish like pike, crocodilians,  and other aquatic hunters, including fish-eating birds such as herons. Nests may also be raided by land-based predators, and brooding females may sometimes be caught unaware on the nest by mammals (e.g. foxes) and large birds, including hawks and eagles.",0.80260324,low,3174
What was given by Aristotle for the hardened shield like forewings?,What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"".",Coleoptera,"The name ""Coleoptera"" was given by Aristotle for the hardened shield like forewings (coleo = shield + ptera = wing). ",0.60572255,high,2378
Who or what vary greatly in form within the coleoptera?,What is the name of the species that vary greatly in form within the coleoptera?,Antennae.,Beetles,"Beetles are a group of insects which have the largest number of species. They are placed in the order Coleoptera,which means ""sheathed wing"" and contains more described species than in any other order in the animal kingdom, constituting about twenty-five percent of all known life-forms. James K. Liebherr and Joseph V. McHugh in Resh, V. H. & R. T. Card̩ (Editors) 2003. Encyclopedia of Insects. Academic Press.  Forty percent of all described insect species are beetles (about 350,000 species ), and new species are frequently discovered. Estimates put the total number of species, described and undescribed, at between 5 and 8 million.",0.7471866,high,2376
Are many beetles territorial?,Are there more beetles than beetles?,Yes.,yes,"Many agricultural, forestry, and household insect pests are beetles. These include the following:",0.47222376,high,2424
Are beetles endopterygotes with complete metamorphosis?,Are beetles endopterygotes?,Yes.,yes,Beetles are endopterygotes with complete metamorphosis.,0.23356667,high,2393
Oxygen is what?,What is the most common form of oxygen?,One kind of gas obtained via a tracheal system.,Information not found in context,"Oxygen is obtained via a tracheal system. Air enters a series of tubes along the body through openings called spiracles, and is then taken into increasingly finer fibres. Pumping movements of the body force the air through the system.",1.0856168,low,2390
Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Is there a thriving industry in the collection of beetles for amateur and professional collectors ?,Yes.,"Beetle collection at the Melbourne Museum, Australia","Beetle collection at the Melbourne Museum, Australia",0.63998574,high,2438
